Internal ID,External ID,Date,Period,Type,Document Number,Name,Subtotal 1,Currency
398751,006Qv000003APgFIAW,07/01/2026,Jan 2026,Invoice,INV1351,83 Presto Brandsäkerhet AB,"23,000.00 ",EUR
398752,006Qv000003uUUlIAM,07/01/2026,Jan 2026,Invoice,INV1352,318 Fractal Gaming AB,"21,500.00 ",EUR
398753,006Qv00000D2DGDIA3,07/01/2026,Jan 2026,Invoice,INV1353,444 HAI Holding BV,"20,900.00 ",GBP
398754,006Qv00000CrGJ6IAN,07/01/2026,Jan 2026,Invoice,INV1354,453 Keskisuomalainen Oyj,"31,700.00 ",EUR
399642,006Qv00000Dc3jlIAB,01/02/2026,Feb 2026,Invoice,INV1357,538 Unilabs Group Services,"90,900.00 ",EUR
399643,006Qv00000MIJp8IAH,05/01/2026,Jan 2026,Invoice,INV1358,537 Roadchef Limited,"4,000.00 ",GBP
400145,006Qv00000DyVSuIAN,05/01/2026,Jan 2026,Invoice,INV1361,294 Hometree,"8,000.00 ",EUR
400146,006Qv000009JsCQIA0,05/01/2026,Jan 2026,Invoice,INV1362,535 Lewis Silkin LLP,"8,500.00 ",GBP
400691,006Qv00000L4LTEIA3,07/01/2026,Jan 2026,Invoice,INV1363,529 Dutch Grill Specialties BV,"5,000.00 ",EUR
400692,006Qv00000OX9Q8IAL,07/01/2026,Jan 2026,Invoice,INV1364,202 Myneva,"14,000.00 ",EUR
400693,006Qv00000FIlFxIAL,07/01/2026,Jan 2026,Invoice,INV1365,203 Infobric AB,"19,000.00 ",EUR
400694,006Qv00000EFRUTIA5,07/01/2026,Jan 2026,Invoice,INV1366,450 Ridge and Partners LLP - main,"10,875.00 ",GBP
401322,0065q000008LncyAAC,08/01/2026,Jan 2026,Invoice,INV1368,40 Hansa Biopharma,"150,000.00 ",SEK
402902,006Qv000003uUUlIAM,08/01/2026,Jan 2026,Invoice,INV1369,318 Fractal Gaming AB,"17,000.00 ",EUR
402903,,08/01/2026,Jan 2026,Credit Memo,CM0115,318 Fractal Gaming AB,"17,000.00 ",EUR
403004,006Qv000003hTmfIAE,13/01/2026,Jan 2026,Invoice,INV1370,127 CQLT SaarGummi Deutschland GmbH,"17,500.00 ",EUR
403005,006Qv00000Chgl3IAB,13/01/2026,Jan 2026,Invoice,INV1371,446 Oqema AG,"36,700.00 ",EUR
